Label,Category,Set,reps,pred_reps
bench,heavy,5,5,5
bench,heavy,74,5,5
bench,heavy,86,5,5
bench,heavy,88,5,4
dead,heavy,48,5,5
dead,medium,11,10,11
dead,medium,55,10,12
dead,medium,75,10,10
ohp,heavy,10,5,5
ohp,heavy,24,5,4
ohp,heavy,38,5,4
ohp,heavy,39,5,4
ohp,heavy,58,5,4
ohp,heavy,93,5,5
ohp,medium,56,10,5
ohp,medium,61,10,5
ohp,medium,77,10,7
rest,sitting,60,10,12
rest,sitting,82,10,12
rest,standing,23,10,11
rest,standing,51,10,11
row,heavy,20,5,5
row,heavy,66,5,5
squat,heavy,18,5,4
squat,heavy,22,5,5
squat,heavy,45,5,5
squat,medium,9,10,8
squat,medium,16,10,5
squat,medium,41,10,8
